H	mur
2.86	467.85507977137868552
2.87	466.37099632829157272
2.88	464.89676810243089105
2.89	463.43229576934740542
2.9	461.97748134471750468
2.91	460.53222816171788891
2.92	459.09644084885842564
2.93	457.67002530826236717
2.94	456.25288869438340742
2.95	454.84493939314934157
2.96	453.44608700152236583
2.97	452.05624230746631777
2.98	450.67531727031141846
2.99	449.30322500150732397
3	447.93987974575553976
3.1	434.76942104450361691
3.2	422.38707899965980872
3.3	410.72320886818011357
3.4	399.71619019135865989
3.5	389.31129913992543712
3.6	379.45976628552742921
3.7	370.11798511514630801
3.8	361.24684383536918462
3.9	352.81115858957224622
4	344.77919054339849544
4.1	337.12223268345666177
4.2	329.81425484368258181
4.3	322.83159758944380487
4.4	316.15270727613875379
4.5	309.75790595132944897
4.6	303.62919085947718405
4.7	297.75005919148712141
4.8	292.1053544402757696
4.9	286.68113131168726478
5	281.46453662327339932
5.1	276.44370402212919179
5.2	271.60766068326425058
5.3	266.94624442469145548
5.4	262.45002990474070816
5.5	258.11026275924103677
5.6	253.91880069774742405
5.7	249.8680607142453065
5.8	245.95097168306892735
5.9	242.16093170864253837
6	238.49176968097759761
6.1	234.9377105600004334
6.2	231.49334397269249237
6.3	228.15359575931054465
6.4	224.91370214995345114
6.5	221.76918629156716517
6.6	218.71583687905844271
6.7	215.7496886732969494
6.8	212.86700471407703034
6.9	210.06426005813313437
7	207.33812689151993306
7.1	204.68546088247149595
7.2	202.10328865557597539
7.3	199.58879628102589868
7.4	197.13931868407039303
7.5	194.7523298898104565
7.6	192.42543402731807879
7.7	190.15635702487598408
7.8	187.94293893505717574
7.9	185.78312683450449069
8	183.67496824872688912
8.1	181.61660505708502626
8.2	179.60626783746642692
8.3	177.6422706140134089
8.4	175.72300597471967042
8.5	173.84694052880201323
8.6	172.01261067652379116
8.7	170.21861866663287075
8.8	168.46362891881117785
8.9	166.74636459054333459
9	165.06560436962315118
9.1	163.42017947515050987
9.2	161.80897085134662013
9.3	160.23090653984959446
9.4	158.68495921735973967
9.5	157.17014388659806911
9.6	155.68551570953403793
9.7	154.23016797273976631
9.8	152.80323017554727873
9.9	151.40386623243076916
10	150.03127278171490998
10.1	148.68467759332929324
10.2	147.36333806889404599
10.3	146.06653982793771128
10.4	144.79359537452029407
10.5	143.54384283896611725
10.6	142.31664478980656138
10.7	141.11138711139524258
10.8	139.92747794299073775
10.9	138.76434667540732126
11	137.62144300161477878
11.1	136.49823601792643178
11.2	135.39421337265202558
11.3	134.30888045931091643
11.4	133.2417596517026636
11.5	132.1923895783181686
11.6	131.16032443374624027
11.7	130.14513332488911585
11.8	129.14639964994713198
11.9	128.16372050826841419
12	127.19670613928504998
12.1	126.24497938887355149
12.2	125.30817520158525265
12.3	124.3859401372923101
12.4	123.4779319108878068
12.5	122.58381895376466855
12.6	121.7032799958782145
12.7	120.83600366727164803
12.8	119.9816881180130948
12.9	119.14004065555730226
13	118.31077739860520223
13.1	117.49362294659053284
13.2	116.68831006397493136
13.3	115.89457937858162312
13.4	115.11217909324330612
13.5	114.34086471008229962
13.6	113.58039876678071279
13.7	112.83055058423549268
13.8	112.09109602502791706
13.9	111.36181726216957957
14	110.64250255761732619
